dataset,n_points,threads,iteration,elapsed_ms,cores1,cores2,total_cores
dataset,20000,1,0,43.9999,19847,105,19952
dataset,20000,1,1,54.0001,19847,105,19952
dataset,20000,1,2,46,19847,105,19952
dataset,20000,1,3,43,19847,105,19952
dataset,20000,1,4,44.9998,19847,105,19952
dataset,20000,1,5,46,19847,105,19952
dataset,20000,1,6,46,19847,105,19952
dataset,20000,1,7,43.9999,19847,105,19952
dataset,20000,1,8,43.9999,19847,105,19952
dataset,20000,1,9,44.0001,19847,105,19952
dataset,20000,10,0,11.9998,19847,105,19952
dataset,20000,10,1,12.0001,19847,105,19952
dataset,20000,10,2,13,19847,105,19952
dataset,20000,10,3,13.9999,19847,105,19952
dataset,20000,10,4,15.0001,19847,105,19952
dataset,20000,10,5,16,19847,105,19952
dataset,20000,10,6,16,19847,105,19952
dataset,20000,10,7,14.9999,19847,105,19952
dataset,20000,10,8,16,19847,105,19952
dataset,20000,10,9,15.0001,19847,105,19952
dataset,20000,20,0,18.0001,19847,105,19952
dataset,20000,20,1,18.9998,19847,105,19952
dataset,20000,20,2,13.9999,19847,105,19952
dataset,20000,20,3,14.0002,19847,105,19952
dataset,20000,20,4,14.9999,19847,105,19952
dataset,20000,20,5,14.0002,19847,105,19952
dataset,20000,20,6,16,19847,105,19952
dataset,20000,20,7,13.9999,19847,105,19952
dataset,20000,20,8,16,19847,105,19952
dataset,20000,20,9,13,19847,105,19952
dataset,20000,40,0,9.99999,19847,105,19952
dataset,20000,40,1,15.0001,19847,105,19952
dataset,20000,40,2,17,19847,105,19952
dataset,20000,40,3,11.0002,19847,105,19952
dataset,20000,40,4,16,19847,105,19952
dataset,20000,40,5,11.9998,19847,105,19952
dataset,20000,40,6,10.9999,19847,105,19952
dataset,20000,40,7,13,19847,105,19952
dataset,20000,40,8,16,19847,105,19952
dataset,20000,40,9,11.0002,19847,105,19952
dataset,40000,1,0,105,39854,108,39962
dataset,40000,1,1,97.0001,39854,108,39962
dataset,40000,1,2,108,39854,108,39962
dataset,40000,1,3,109,39854,108,39962
dataset,40000,1,4,95,39854,108,39962
dataset,40000,1,5,91.0001,39854,108,39962
dataset,40000,1,6,103,39854,108,39962
dataset,40000,1,7,91.0001,39854,108,39962
dataset,40000,1,8,100,39854,108,39962
dataset,40000,1,9,95,39854,108,39962
dataset,40000,10,0,31.9998,39854,108,39962
dataset,40000,10,1,30.9999,39854,108,39962
dataset,40000,10,2,31.0001,39854,108,39962
dataset,40000,10,3,27.9999,39854,108,39962
dataset,40000,10,4,32.0001,39854,108,39962
dataset,40000,10,5,32.0001,39854,108,39962
dataset,40000,10,6,33.9999,39854,108,39962
dataset,40000,10,7,32.0001,39854,108,39962
dataset,40000,10,8,34.0002,39854,108,39962
