dataset,n_points,threads,mean_ms,stddev_ms,mean_cores1,mean_cores2
dataset,20000,1,45.6,2.97326,19847,105
dataset,20000,10,14.4,1.49669,19847,105
dataset,20000,20,15.3,1.84659,19847,105
dataset,20000,40,13.2,2.44131,19847,105
dataset,40000,1,99.4,6.296,39854,108
dataset,40000,10,31.5,1.80284,39854,108
dataset,40000,20,29.4,4.15205,39854,108
dataset,40000,40,28.1,4.22967,39854,108
dataset,80000,1,199.1,7.32739,79877,89
dataset,80000,10,63.1,3.5623,79877,89
dataset,80000,20,58.2,6.76458,79877,89
dataset,80000,40,51.4,7.49931,79877,89
dataset,120000,1,302.7,6.871,119882,78
dataset,120000,10,84.4,3.20003,119882,78
dataset,120000,20,83.7,13.8567,119882,78
dataset,120000,40,78.2,9.36805,119882,78
