n_points,threads,iteration,elapsed_ms,cores
20000,1,1,41.9998,19968
20000,1,2,43.9999,19968
20000,1,3,45.0001,19968
20000,1,4,46.9999,19968
20000,1,5,43.9999,19968
20000,1,6,47.9999,19968
20000,1,7,53.0002,19968
20000,1,8,49,19968
20000,1,9,52,19968
20000,1,10,46.9999,19968
20000,10,1,13,19968
20000,10,2,13,19968
20000,10,3,13.9999,19968
20000,10,4,16,19968
20000,10,5,15.0001,19968
20000,10,6,14.9999,19968
20000,10,7,15.0001,19968
20000,10,8,14.9999,19968
20000,10,9,16,19968
20000,10,10,16,19968
20000,20,1,10.9999,19968
20000,20,2,13,19968
20000,20,3,16,19968
20000,20,4,16,19968
20000,20,5,13,19968
20000,20,6,19.0001,19968
20000,20,7,17,19968
20000,20,8,18.0001,19968
20000,20,9,17,19968
20000,20,10,19.0001,19968
20000,40,1,17,19968
20000,40,2,13,19968
20000,40,3,16,19968
20000,40,4,20,19968
20000,40,5,11.0002,19968
20000,40,6,14.9999,19968
20000,40,7,11.0002,19968
20000,40,8,18.9998,19968
20000,40,9,17,19968
20000,40,10,15.0001,19968
40000,1,1,89,39979
40000,1,2,96,39979
40000,1,3,102,39979
40000,1,4,92,39979
40000,1,5,94.0001,39979
40000,1,6,98,39979
40000,1,7,93.0002,39979
40000,1,8,96.9999,39979
40000,1,9,100,39979
40000,1,10,101,39979
40000,10,1,40,39979
40000,10,2,29,39979
40000,10,3,27.9999,39979
40000,10,4,28.9998,39979
40000,10,5,31.0001,39979
40000,10,6,33.9999,39979
40000,10,7,34.0002,39979
40000,10,8,30,39979
40000,10,9,30.9999,39979
40000,10,10,29,39979
40000,20,1,23,39979
40000,20,2,23,39979
40000,20,3,26,39979
40000,20,4,38.0001,39979
40000,20,5,27,39979
40000,20,6,27.0002,39979
40000,20,7,33.9999,39979
40000,20,8,30.9999,39979
40000,20,9,28.0001,39979
40000,20,10,25.0001,39979
40000,40,1,21.9998,39979
40000,40,2,33,39979
40000,40,3,31.9998,39979
40000,40,4,21.0001,39979
40000,40,5,31.9998,39979
40000,40,6,27.0002,39979
40000,40,7,21.9998,39979
40000,40,8,22.0001,39979
40000,40,9,27,39979
40000,40,10,34.9998,39979
80000,1,1,196,79973
80000,1,2,210,79973
80000,1,3,198,79973
80000,1,4,212,79973
80000,1,5,200,79973
80000,1,6,196,79973
80000,1,7,200,79973
80000,1,8,194,79973
80000,1,9,195,79973
80000,1,10,191,79973
80000,10,1,59.9999,79973
80000,10,2,59,79973
80000,10,3,62,79973
80000,10,4,59,79973
80000,10,5,59,79973
80000,10,6,55.0001,79973
80000,10,7,62,79973
80000,10,8,59,79973
80000,10,9,58.0001,79973
80000,10,10,56.9999,79973
80000,20,1,58.0001,79973
80000,20,2,53.9999,79973
80000,20,3,59,79973
80000,20,4,52,79973
80000,20,5,63,79973
80000,20,6,48.0001,79973
80000,20,7,62,79973
80000,20,8,46.9999,79973
80000,20,9,59,79973
80000,20,10,55.0001,79973
80000,40,1,53,79973
80000,40,2,40,79973
80000,40,3,64.0001,79973
80000,40,4,40.9999,79973
80000,40,5,48.0001,79973
80000,40,6,56,79973
80000,40,7,41.0001,79973
80000,40,8,56,79973
80000,40,9,40.0002,79973
80000,40,10,59,79973
120000,1,1,318,119970
120000,1,2,297,119970
120000,1,3,306,119970
120000,1,4,304,119970
120000,1,5,315,119970
120000,1,6,310,119970
120000,1,7,318,119970
120000,1,8,313,119970
120000,1,9,315,119970
120000,1,10,316,119970
120000,10,1,82.9999,119970
120000,10,2,82,119970
120000,10,3,85,119970
120000,10,4,84.0001,119970
120000,10,5,86,119970
120000,10,6,88.0001,119970
120000,10,7,86,119970
120000,10,8,84.0001,119970
120000,10,9,78.0001,119970
120000,10,10,85,119970
120000,20,1,84.0001,119970
120000,20,2,74.9998,119970
120000,20,3,73.0002,119970
120000,20,4,92,119970
120000,20,5,103,119970
120000,20,6,78.0001,119970
120000,20,7,96,119970
120000,20,8,79,119970
120000,20,9,98,119970
120000,20,10,79,119970
120000,40,1,82.9999,119970
120000,40,2,68.0001,119970
120000,40,3,65.0001,119970
120000,40,4,83.9999,119970
120000,40,5,76,119970
120000,40,6,61.9998,119970
120000,40,7,64.9998,119970
120000,40,8,82,119970
120000,40,9,87.9998,119970
120000,40,10,82,119970
200000,1,1,511,199984
200000,1,2,515,199984
200000,1,3,512,199984
200000,1,4,553,199984
200000,1,5,531,199984
200000,1,6,566,199984
200000,1,7,523,199984
200000,1,8,542,199984
200000,1,9,558,199984
200000,1,10,532,199984
200000,10,1,148,199984
200000,10,2,138,199984
200000,10,3,144,199984
200000,10,4,146,199984
200000,10,5,148,199984
200000,10,6,148,199984
200000,10,7,143,199984
200000,10,8,141,199984
200000,10,9,140,199984
200000,10,10,152,199984
200000,20,1,140,199984
200000,20,2,124,199984
200000,20,3,142,199984
200000,20,4,126,199984
200000,20,5,146,199984
200000,20,6,147,199984
200000,20,7,115,199984
200000,20,8,118,199984
200000,20,9,153,199984
200000,20,10,138,199984
200000,40,1,123,199984
200000,40,2,140,199984
200000,40,3,126,199984
200000,40,4,151,199984
200000,40,5,117,199984
200000,40,6,145,199984
200000,40,7,108,199984
200000,40,8,134,199984
200000,40,9,132,199984
200000,40,10,119,199984
