n_points,threads,iteration,elapsed_ms,cores1
20000,1,1,835.7738,19968
20000,1,2,816.6038,19968
20000,1,3,805.8576,19968
20000,1,4,749.7123,19968
20000,1,5,776.708,19968
20000,1,6,829.5189,19968
20000,1,7,787.5972,19968
20000,1,8,766.1923,19968
20000,1,9,755.3705,19968
20000,1,10,839.5443,19968
40000,1,1,1569.2589,39979
40000,1,2,1630.7635,39979
40000,1,3,1632.507,39979
40000,1,4,1667.4149,39979
40000,1,5,1613.8002,39979
40000,1,6,1610.812,39979
40000,1,7,1597.8138,39979
40000,1,8,1648.2381,39979
40000,1,9,1714.1085,39979
40000,1,10,1600.206,39979
80000,1,1,3350.4761,79973
80000,1,2,3556.6138,79973
80000,1,3,3360.1834,79973
80000,1,4,3396.7868,79973
80000,1,5,3417.5611,79973
80000,1,6,3332.9824,79973
80000,1,7,3371.3493,79973
80000,1,8,3413.3713,79973
80000,1,9,3348.7553,79973
80000,1,10,3436.5026,79973
120000,1,1,5194.3256,119970
120000,1,2,5282.2893,119970
120000,1,3,5241.6701,119970
120000,1,4,5317.1396,119970
120000,1,5,5411.3276,119970
120000,1,6,5271.4079,119970
120000,1,7,5185.0096,119970
120000,1,8,5239.8,119970
120000,1,9,5289.7666,119970
120000,1,10,5176.0102,119970
